chrom	length	bases	mean	min	max
contig_38_region	6883	7530502	1094.07	279	1681
contig_39	6846	8829020	1289.66	645	1948
contig_39_region	6846	8829020	1289.66	645	1948
contig_40	6675	7689284	1151.95	589	1965
contig_40_region	6675	7689284	1151.95	589	1965
contig_41	6655	8389760	1260.67	606	2020
contig_41_region	6655	8389760	1260.67	606	2020
contig_42	6615	7280432	1100.59	711	1762
contig_42_region	6615	7280432	1100.59	711	1762
contig_43	6583	8412814	1277.96	390	1862
contig_43_region	6583	8412814	1277.96	390	1862
contig_44	6574	7413923	1127.76	260	4155
contig_44_region	6574	7413923	1127.76	260	4155
contig_45	6512	8195819	1258.57	296	2705
contig_45_region	6512	8195819	1258.57	296	2705
contig_46	6469	7071051	1093.07	55	3925
contig_46_region	6469	7071051	1093.07	55	3925
contig_47	6421	6725526	1047.43	211	1748
contig_47_region	6421	6725526	1047.43	211	1748
contig_48	6397	9507081	1486.18	10	26885
contig_48_region	6397	9507081	1486.18	10	26885
contig_49	6385	5853303	916.73	320	1819
contig_49_region	6385	5853303	916.73	320	1819
contig_50	6384	6968311	1091.53	215	1611
contig_50_region	6384	6968311	1091.53	215	1611
contig_51	6357	7544207	1186.76	272	2551
contig_51_region	6357	7544207	1186.76	272	2551
contig_52	6331	6218984	982.31	260	2263
contig_52_region	6331	6218984	982.31	260	2263
contig_53	6321	7024367	1111.27	413	3856
contig_53_region	6321	7024367	1111.27	413	3856
contig_54	6305	6933839	1099.74	259	1984
contig_54_region	6305	6933839	1099.74	259	1984
contig_55	6279	7979237	1270.78	588	5375
contig_55_region	6279	7979237	1270.78	588	5375
contig_56	6248	4891592	782.91	337	1619
contig_56_region	6248	4891592	782.91	337	1619
contig_57	6239	8942676	1433.35	255	2340
contig_57_region	6239	8942676	1433.35	255	2340
contig_58	6187	6205578	1003.00	301	1614
contig_58_region	6187	6205578	1003.00	301	1614
contig_59	6165	7198266	1167.60	151	1958
contig_59_region	6165	7198266	1167.60	151	1958
contig_60	6155	7236467	1175.71	305	2385
contig_60_region	6155	7236467	1175.71	305	2385
contig_61	6152	6804764	1106.11	323	2075
contig_61_region	6152	6804764	1106.11	323	2075
contig_62	6148	7345549	1194.79	678	3105
contig_62_region	6148	7345549	1194.79	678	3105
contig_63	6121	7896774	1290.11	381	4107
contig_63_region	6121	7896774	1290.11	381	4107
contig_64	6068	5152952	849.20	380	1837
contig_64_region	6068	5152952	849.20	380	1837
contig_65	6014	6475402	1076.72	537	1769
contig_65_region	6014	6475402	1076.72	537	1769
contig_66	5991	6592727	1100.44	184	1903
contig_66_region	5991	6592727	1100.44	184	1903
contig_67	5962	6003314	1006.93	248	5732
contig_67_region	5962	6003314	1006.93	248	5732
contig_68	5912	5422466	917.20	281	1803
contig_68_region	5912	5422466	917.20	281	1803
contig_69	5882	7968245	1354.68	370	3081
contig_69_region	5882	7968245	1354.68	370	3081
contig_70	5832	5845514	1002.32	362	1713
contig_70_region	5832	5845514	1002.32	362	1713
contig_71	5823	6098347	1047.29	707	1643
contig_71_region	5823	6098347	1047.29	707	1643
contig_72	5801	5853974	1009.13	589	2235
contig_72_region	5801	5853974	1009.13	589	2235
contig_73	5712	5206717	911.54	423	1699
contig_73_region	5712	5206717	911.54	423	1699
contig_74	5684	3275759	576.31	205	1461
contig_74_region	5684	3275759	576.31	205	1461
contig_75	5681	9775971	1720.82	77	23857
contig_75_region	5681	9775971	1720.82	77	23857
contig_76	5670	7588816	1338.42	357	6012
contig_76_region	5670	7588816	1338.42	357	6012
contig_77	5665	7119616	1256.77	357	1782
contig_77_region	5665	7119616	1256.77	357	1782
contig_78	5652	8747321	1547.65	342	7098
contig_78_region	5652	8747321	1547.65	342	7098
contig_79	5651	6896357	1220.38	258	1683
contig_79_region	5651	6896357	1220.38	258	1683
contig_80	5623	7883448	1402.00	908	2056
contig_80_region	5623	7883448	1402.00	908	2056
contig_81	5578	12624715	2263.30	580	11695
contig_81_region	5578	12624715	2263.30	580	11695
contig_82	5563	5351536	961.99	475	2626
contig_82_region	5563	5351536	961.99	475	2626
contig_83	5556	4752601	855.40	507	2176
contig_83_region	5556	4752601	855.40	507	2176
contig_84	5555	6700575	1206.22	517	1736
contig_84_region	5555	6700575	1206.22	517	1736
contig_85	5471	4497030	821.98	224	1750
contig_85_region	5471	4497030	821.98	224	1750
contig_86	5469	4720118	863.07	395	3000
contig_86_region	5469	4720118	863.07	395	3000
contig_87	5433	4416750	812.95	214	1488
contig_87_region	5433	4416750	812.95	214	1488
contig_88	5416	5673380	1047.52	263	4824
contig_88_region	5416	5673380	1047.52	263	4824
contig_89	5341	7721951	1445.79	225	9607
contig_89_region	5341	7721951	1445.79	225	9607
contig_90	5317	5182150	974.64	369	1591
contig_90_region	5317	5182150	974.64	369	1591
contig_91	5263	5682617	1079.73	218	1737
contig_91_region	5263	5682617	1079.73	218	1737
contig_92	5246	5934978	1131.33	608	1776
contig_92_region	5246	5934978	1131.33	608	1776
contig_93	5211	5392773	1034.88	432	1681
contig_93_region	5211	5392773	1034.88	432	1681
contig_94	5207	7453016	1431.35	277	2510
contig_94_region	5207	7453016	1431.35	277	2510
contig_95	5170	5512227	1066.19	205	1859
contig_95_region	5170	5512227	1066.19	205	1859
contig_96	5155	5649630	1095.95	474	1857
contig_96_region	5155	5649630	1095.95	474	1857
contig_97	5139	6257472	1217.64	417	3078
contig_97_region	5139	6257472	1217.64	417	3078
contig_98	5139	5477168	1065.80	443	1660
contig_98_region	5139	5477168	1065.80	443	1660
contig_99	5080	5487605	1080.24	383	1608
contig_99_region	5080	5487605	1080.24	383	1608
contig_100	5061	5986426	1182.85	140	1770
contig_100_region	5061	5986426	1182.85	140	1770
contig_101	5042	5929813	1176.08	436	1936
contig_101_region	5042	5929813	1176.08	436	1936
contig_102	4949	5156151	1041.86	317	1796
contig_102_region	4949	5156151	1041.86	317	1796
contig_103	4901	2029363	414.07	26	687
contig_103_region	4901	2029363	414.07	26	687
contig_104	4838	5188684	1072.49	377	1714
contig_104_region	4838	5188684	1072.49	377	1714
contig_105	4781	6284378	1314.45	206	4520
contig_105_region	4781	6284378	1314.45	206	4520
contig_106	4781	5576760	1166.44	235	1676
contig_106_region	4781	5576760	1166.44	235	1676
contig_107	4773	5661642	1186.18	202	1717
contig_107_region	4773	5661642	1186.18	202	1717
contig_108	4765	5686595	1193.41	407	2423
contig_108_region	4765	5686595	1193.41	407	2423
contig_109	4751	5906134	1243.13	214	2020
contig_109_region	4751	5906134	1243.13	214	2020
contig_110	4629	4883053	1054.88	360	1510
contig_110_region	4629	4883053	1054.88	360	1510
contig_111	4604	5876537	1276.40	686	2137
contig_111_region	4604	5876537	1276.40	686	2137
contig_112	4595	5777940	1257.44	213	1967
contig_112_region	4595	5777940	1257.44	213	1967
contig_113	4571	39296770	8596.97	97	40108
contig_113_region	4571	39296770	8596.97	97	40108
contig_114	4564	5095832	1116.53	301	1795
contig_114_region	4564	5095832	1116.53	301	1795
contig_115	4519	9390028	2077.90	662	29492
contig_115_region	4519	9390028	2077.90	662	29492
contig_116	4440	4432495	998.31	263	1371
contig_116_region	4440	4432495	998.31	263	1371
contig_117	4436	3362281	757.95	185	1659
contig_117_region	4436	3362281	757.95	185	1659
contig_118	4430	5309502	1198.53	338	5460
contig_118_region	4430	5309502	1198.53	338	5460
contig_119	4428	1615116	364.75	38	663
contig_119_region	4428	1615116	364.75	38	663
contig_120	4405	5147096	1168.47	309	1590
contig_120_region	4405	5147096	1168.47	309	1590
contig_121	4398	4210408	957.35	157	2707
contig_121_region	4398	4210408	957.35	157	2707
contig_122	4382	4955371	1130.85	328	1628
contig_122_region	4382	4955371	1130.85	328	1628
contig_123	4351	5695559	1309.02	677	2287
contig_123_region	4351	5695559	1309.02	677	2287
contig_124	4323	5685167	1315.10	391	2114
contig_124_region	4323	5685167	1315.10	391	2114
contig_125	4312	4843176	1123.19	305	1950
contig_125_region	4312	4843176	1123.19	305	1950
contig_126	4208	4357377	1035.50	232	2714
contig_126_region	4208	4357377	1035.50	232	2714
contig_127	4186	1118244	267.14	40	798
contig_127_region	4186	1118244	267.14	40	798
contig_128	4180	4783204	1144.31	675	1988
contig_128_region	4180	4783204	1144.31	675	1988
contig_129	4170	4722980	1132.61	684	1669
contig_129_region	4170	4722980	1132.61	684	1669
contig_130	4166	3959613	950.46	108	1556
contig_130_region	4166	3959613	950.46	108	1556
contig_131	4149	1816090	437.72	95	1685
contig_131_region	4149	1816090	437.72	95	1685
contig_132	4129	4972163	1204.21	429	1680
contig_132_region	4129	4972163	1204.21	429	1680
contig_133	4103	3188213	777.04	276	2131
contig_133_region	4103	3188213	777.04	276	2131
contig_134	4098	5114593	1248.07	356	3086
contig_134_region	4098	5114593	1248.07	356	3086
contig_135	4086	5809201	1421.73	479	11985
contig_135_region	4086	5809201	1421.73	479	11985
contig_136	4080	4989900	1223.01	188	1897
contig_136_region	4080	4989900	1223.01	188	1897
contig_137	4058	3827974	943.32	275	1603
contig_137_region	4058	3827974	943.32	275	1603
contig_138	4056	4589559	1131.55	238	2559
contig_138_region	4056	4589559	1131.55	238	2559
contig_139	4033	4598711	1140.27	392	3502
contig_139_region	4033	4598711	1140.27	392	3502
contig_140	4031	2956485	733.44	204	2154
contig_140_region	4031	2956485	733.44	204	2154
contig_141	4020	5067115	1260.48	305	1751
contig_141_region	4020	5067115	1260.48	305	1751
contig_142	4004	4645882	1160.31	183	6009
contig_142_region	4004	4645882	1160.31	183	6009
contig_143	3915	4907349	1253.47	154	1916
contig_143_region	3915	4907349	1253.47	154	1916
contig_144	3903	3971224	1017.48	272	1679
contig_144_region	3903	3971224	1017.48	272	1679
contig_145	3898	4806841	1233.16	364	1781
contig_145_region	3898	4806841	1233.16	364	1781
contig_146	3896	4980684	1278.41	365	6606
contig_146_region	3896	4980684	1278.41	365	6606
contig_147	3879	4220086	1087.93	314	1873
contig_147_region	3879	4220086	1087.93	314	1873
contig_148	3819	2421364	634.03	150	1723
contig_148_region	3819	2421364	634.03	150	1723
contig_149	3816	2554569	669.44	213	1522
contig_149_region	3816	2554569	669.44	213	1522
contig_150	3810	2766252	726.05	255	1625
contig_150_region	3810	2766252	726.05	255	1625
contig_151	3807	3493517	917.66	253	1621
contig_151_region	3807	3493517	917.66	253	1621
contig_152	3803	2940303	773.15	220	2143
contig_152_region	3803	2940303	773.15	220	2143
contig_153	3783	1773353	468.77	55	774
contig_153_region	3783	1773353	468.77	55	774
contig_154	3774	3609716	956.47	425	1675
contig_154_region	3774	3609716	956.47	425	1675
contig_155	3752	4336741	1155.85	258	2317
contig_155_region	3752	4336741	1155.85	258	2317
contig_156	3690	3656831	991.01	190	2696
contig_156_region	3690	3656831	991.01	190	2696
contig_157	3678	4598233	1250.20	488	1703
contig_157_region	3678	4598233	1250.20	488	1703
contig_158	3662	4296422	1173.24	262	2249
contig_158_region	3662	4296422	1173.24	262	2249
contig_159	3645	7240236	1986.35	140	9674
contig_159_region	3645	7240236	1986.35	140	9674
contig_160	3624	2646229	730.20	132	1277
contig_160_region	3624	2646229	730.20	132	1277
contig_161	3594	4385583	1220.25	433	1831
contig_161_region	3594	4385583	1220.25	433	1831
contig_162	3585	2812667	784.57	245	2071
contig_162_region	3585	2812667	784.57	245	2071
contig_163	3572	116019	32.48	1	599
contig_163_region	3572	116019	32.48	1	599
contig_164	3569	3400296	952.73	80	1500
contig_164_region	3569	3400296	952.73	80	1500
contig_165	3567	4194860	1176.02	533	1748
contig_165_region	3567	4194860	1176.02	533	1748
contig_166	3544	3433500	968.82	161	1666
contig_166_region	3544	3433500	968.82	161	1666
contig_167	3518	4406088	1252.44	212	4725
contig_167_region	3518	4406088	1252.44	212	4725
contig_168	3488	3664612	1050.63	262	3136
contig_168_region	3488	3664612	1050.63	262	3136
contig_169	3477	4334717	1246.68	183	1766
contig_169_region	3477	4334717	1246.68	183	1766
contig_170	3470	19559639	5636.78	1703	7464
contig_170_region	3470	19559639	5636.78	1703	7464
contig_171	3451	4042252	1171.33	684	1768
contig_171_region	3451	4042252	1171.33	684	1768
contig_172	3447	2964971	860.16	244	1287
contig_172_region	3447	2964971	860.16	244	1287
contig_173	3445	3451243	1001.81	269	11511
contig_173_region	3445	3451243	1001.81	269	11511
contig_174	3445	3975949	1154.12	352	1737
contig_174_region	3445	3975949	1154.12	352	1737
contig_175	3436	3913386	1138.94	372	1605
contig_175_region	3436	3913386	1138.94	372	1605
contig_176	3430	2883002	840.53	213	1527
contig_176_region	3430	2883002	840.53	213	1527
contig_177	3417	2494172	729.93	156	1140
contig_177_region	3417	2494172	729.93	156	1140
contig_178	3413	5338367	1564.13	223	10574
contig_178_region	3413	5338367	1564.13	223	10574
contig_179	3413	119260	34.94	1	110
contig_179_region	3413	119260	34.94	1	110
contig_180	3409	1534094	450.01	48	716
contig_180_region	3409	1534094	450.01	48	716
contig_181	3408	4282753	1256.68	761	3572
contig_181_region	3408	4282753	1256.68	761	3572
contig_182	3395	3613182	1064.27	543	1555
contig_182_region	3395	3613182	1064.27	543	1555
contig_183	3381	3371752	997.26	509	7199
contig_183_region	3381	3371752	997.26	509	7199
contig_184	3376	3987411	1181.11	779	1776
contig_184_region	3376	3987411	1181.11	779	1776
contig_185	3372	1434429	425.39	87	2438
contig_185_region	3372	1434429	425.39	87	2438
contig_186	3361	3973893	1182.35	733	1716
contig_186_region	3361	3973893	1182.35	733	1716
contig_187	3354	3488358	1040.06	171	1730
contig_187_region	3354	3488358	1040.06	171	1730
contig_188	3346	1583567	473.27	99	797
contig_188_region	3346	1583567	473.27	99	797
contig_189	3287	1580441	480.82	123	936
contig_189_region	3287	1580441	480.82	123	936
contig_190	3271	4800110	1467.47	517	2506
contig_190_region	3271	4800110	1467.47	517	2506
contig_191	3205	3415806	1065.77	766	1425
contig_191_region	3205	3415806	1065.77	766	1425
contig_192	3202	3969244	1239.61	346	1754
contig_192_region	3202	3969244	1239.61	346	1754
contig_193	3197	3551770	1110.97	189	1473
contig_193_region	3197	3551770	1110.97	189	1473
contig_194	3196	4196016	1312.90	304	2820
contig_194_region	3196	4196016	1312.90	304	2820
contig_195	3166	3532628	1115.80	204	2135
contig_195_region	3166	3532628	1115.80	204	2135
contig_196	3134	3604201	1150.03	609	1878
contig_196_region	3134	3604201	1150.03	609	1878
contig_197	3103	2955380	952.43	487	1676
contig_197_region	3103	2955380	952.43	487	1676
contig_198	3092	1328964	429.81	35	752
contig_198_region	3092	1328964	429.81	35	752
contig_199	3087	3421185	1108.26	227	1745
contig_199_region	3087	3421185	1108.26	227	1745
contig_200	3061	3877869	1266.86	447	1927
contig_200_region	3061	3877869	1266.86	447	1927
contig_201	3039	3795365	1248.89	394	2017
contig_201_region	3039	3795365	1248.89	394	2017
contig_202	3038	4231303	1392.79	367	3744
contig_202_region	3038	4231303	1392.79	367	3744
contig_203	3031	3261995	1076.21	215	1593
contig_203_region	3031	3261995	1076.21	215	1593
contig_204	3025	4283129	1415.91	513	2059
contig_204_region	3025	4283129	1415.91	513	2059
contig_205	3017	3007285	996.78	188	1686
contig_205_region	3017	3007285	996.78	188	1686
contig_206	2994	3470503	1159.15	281	1503
contig_206_region	2994	3470503	1159.15	281	1503
contig_207	2983	3227793	1082.06	359	1582
contig_207_region	2983	3227793	1082.06	359	1582
contig_208	2954	3521119	1191.98	361	1826
contig_208_region	2954	3521119	1191.98	361	1826
contig_209	2949	3144782	1066.39	264	1550
contig_209_region	2949	3144782	1066.39	264	1550
contig_210	2947	3772497	1280.11	241	1730
contig_210_region	2947	3772497	1280.11	241	1730
contig_211	2924	3384617	1157.53	341	1958
contig_211_region	2924	3384617	1157.53	341	1958
contig_212	2921	2895628	991.31	252	1406
contig_212_region	2921	2895628	991.31	252	1406
contig_213	2907	3145372	1082.00	296	1497
contig_213_region	2907	3145372	1082.00	296	1497
contig_214	2903	3036861	1046.11	617	1854
contig_214_region	2903	3036861	1046.11	617	1854
contig_215	2900	3113439	1073.60	114	3152
contig_215_region	2900	3113439	1073.60	114	3152
contig_216	2898	3530415	1218.22	682	1639
contig_216_region	2898	3530415	1218.22	682	1639
contig_217	2891	2611626	903.36	263	1316
contig_217_region	2891	2611626	903.36	263	1316
contig_218	2887	2889847	1000.99	457	1686
contig_218_region	2887	2889847	1000.99	457	1686
contig_219	2887	2495663	864.45	325	1921
contig_219_region	2887	2495663	864.45	325	1921
contig_220	2881	2084476	723.53	151	1397
contig_220_region	2881	2084476	723.53	151	1397
contig_221	2867	1022344	356.59	29	551
contig_221_region	2867	1022344	356.59	29	551
contig_222	2856	3796376	1329.26	428	1837
contig_222_region	2856	3796376	1329.26	428	1837
contig_223	2845	2220271	780.41	31	1364
contig_223_region	2845	2220271	780.41	31	1364
contig_224	2843	2930693	1030.85	492	1807
contig_224_region	2843	2930693	1030.85	492	1807
contig_225	2838	2041330	719.28	207	1075
contig_225_region	2838	2041330	719.28	207	1075
contig_226	2834	2951231	1041.37	394	1513
contig_226_region	2834	2951231	1041.37	394	1513
contig_227	2818	3133852	1112.08	304	1478
contig_227_region	2818	3133852	1112.08	304	1478
contig_228	2801	3447039	1230.65	188	1823
contig_228_region	2801	3447039	1230.65	188	1823
contig_229	2787	3012786	1081.01	102	1645
contig_229_region	2787	3012786	1081.01	102	1645
contig_230	2772	3361165	1212.54	548	1907
contig_230_region	2772	3361165	1212.54	548	1907
contig_231	2768	1136300	410.51	40	597
contig_231_region	2768	1136300	410.51	40	597
contig_232	2766	3023427	1093.07	176	1941
contig_232_region	2766	3023427	1093.07	176	1941
contig_233	2747	3497204	1273.10	360	2044
contig_233_region	2747	3497204	1273.10	360	2044
contig_234	2746	3626949	1320.81	145	2031
contig_234_region	2746	3626949	1320.81	145	2031
contig_235	2741	2661003	970.81	348	1442
contig_235_region	2741	2661003	970.81	348	1442
contig_236	2718	2712912	998.13	646	1489
contig_236_region	2718	2712912	998.13	646	1489
contig_237	2717	2705384	995.72	633	1568
contig_237_region	2717	2705384	995.72	633	1568
contig_238	2711	1176643	434.03	108	902
contig_238_region	2711	1176643	434.03	108	902
contig_239	2710	1614802	595.87	165	1959
contig_239_region	2710	1614802	595.87	165	1959
contig_240	2700	3461621	1282.08	414	1876
contig_240_region	2700	3461621	1282.08	414	1876
contig_241	2695	1916359	711.08	238	1321
contig_241_region	2695	1916359	711.08	238	1321
contig_242	2694	3263996	1211.58	494	3113
contig_242_region	2694	3263996	1211.58	494	3113
contig_243	2676	1993915	745.11	37	1173
contig_243_region	2676	1993915	745.11	37	1173
contig_244	2659	6724050	2528.79	1041	6394
contig_244_region	2659	6724050	2528.79	1041	6394
contig_245	2658	2865467	1078.05	319	1378
contig_245_region	2658	2865467	1078.05	319	1378
contig_246	2655	3359637	1265.40	266	6117
contig_246_region	2655	3359637	1265.40	266	6117
contig_247	2649	2472819	933.49	407	1617
contig_247_region	2649	2472819	933.49	407	1617
contig_248	2649	2480654	936.45	172	1730
contig_248_region	2649	2480654	936.45	172	1730
contig_249	2645	2571198	972.10	312	1534
contig_249_region	2645	2571198	972.10	312	1534
contig_250	2639	2553806	967.72	423	1842
contig_250_region	2639	2553806	967.72	423	1842
contig_251	2637	2761292	1047.13	384	2017
contig_251_region	2637	2761292	1047.13	384	2017
contig_252	2619	3335791	1273.69	313	1944
contig_252_region	2619	3335791	1273.69	313	1944
contig_253	2615	3210330	1227.66	287	3550
contig_253_region	2615	3210330	1227.66	287	3550
contig_254	2607	3024312	1160.07	590	1773
contig_254_region	2607	3024312	1160.07	590	1773
contig_255	2606	2942711	1129.21	204	1492
contig_255_region	2606	2942711	1129.21	204	1492
contig_256	2601	2790583	1072.89	415	1712
contig_256_region	2601	2790583	1072.89	415	1712
contig_257	2596	3370381	1298.30	291	2129
contig_257_region	2596	3370381	1298.30	291	2129
contig_258	2592	3121813	1204.40	697	1743
contig_258_region	2592	3121813	1204.40	697	1743
contig_259	2592	3164404	1220.83	309	1740
contig_259_region	2592	3164404	1220.83	309	1740
contig_260	2589	2000157	772.56	167	1664
contig_260_region	2589	2000157	772.56	167	1664
contig_261	2582	2117110	819.95	65	1891
contig_261_region	2582	2117110	819.95	65	1891
contig_262	2581	2848859	1103.78	182	2487
contig_262_region	2581	2848859	1103.78	182	2487
contig_263	2573	3788674	1472.47	360	6492
contig_263_region	2573	3788674	1472.47	360	6492
contig_264	2519	66047	26.22	2	88
contig_264_region	2519	66047	26.22	2	88
contig_265	2490	1385399	556.39	134	1029
contig_265_region	2490	1385399	556.39	134	1029
contig_266	2484	2995209	1205.80	762	1650
contig_266_region	2484	2995209	1205.80	762	1650
contig_267	2454	2741133	1117.01	61	1545
contig_267_region	2454	2741133	1117.01	61	1545
contig_268	2452	1887177	769.65	227	2035
contig_268_region	2452	1887177	769.65	227	2035
contig_269	2449	2855865	1166.14	305	3199
contig_269_region	2449	2855865	1166.14	305	3199
contig_270	2449	2795049	1141.30	317	1524
contig_270_region	2449	2795049	1141.30	317	1524
contig_271	2432	2018508	829.98	126	1372
contig_271_region	2432	2018508	829.98	126	1372
contig_272	2431	2734650	1124.91	677	1660
contig_272_region	2431	2734650	1124.91	677	1660
contig_273	2429	1759963	724.56	136	1084
contig_273_region	2429	1759963	724.56	136	1084
contig_274	2423	3443511	1421.18	282	7155
contig_274_region	2423	3443511	1421.18	282	7155
contig_275	2402	2854568	1188.41	103	3592
contig_275_region	2402	2854568	1188.41	103	3592
contig_276	2400	3125695	1302.37	696	1719
contig_276_region	2400	3125695	1302.37	696	1719
contig_277	2393	2849109	1190.60	431	2250
contig_277_region	2393	2849109	1190.60	431	2250
contig_278	2388	3178612	1331.08	74	1986
contig_278_region	2388	3178612	1331.08	74	1986
contig_279	2387	3620694	1516.84	551	5366
contig_279_region	2387	3620694	1516.84	551	5366
contig_280	2379	2962448	1245.25	370	1985
contig_280_region	2379	2962448	1245.25	370	1985
contig_281	2377	2558665	1076.43	595	1944
contig_281_region	2377	2558665	1076.43	595	1944
contig_282	2375	2782512	1171.58	482	1807
contig_282_region	2375	2782512	1171.58	482	1807
contig_283	2370	28504	12.03	1	33
contig_283_region	2370	28504	12.03	1	33
contig_284	2363	2568197	1086.84	156	1625
contig_284_region	2363	2568197	1086.84	156	1625
contig_285	2361	1583035	670.49	85	1885
contig_285_region	2361	1583035	670.49	85	1885
contig_286	2361	1535177	650.22	61	1061
contig_286_region	2361	1535177	650.22	61	1061
contig_287	2358	2497224	1059.04	246	1417
contig_287_region	2358	2497224	1059.04	246	1417
contig_288	2355	2635922	1119.29	185	1604
contig_288_region	2355	2635922	1119.29	185	1604
contig_289	2345	3155488	1345.62	326	2034
contig_289_region	2345	3155488	1345.62	326	2034
contig_290	2334	2582633	1106.53	288	1715
contig_290_region	2334	2582633	1106.53	288	1715
contig_291	2334	2461595	1054.67	68	1964
contig_291_region	2334	2461595	1054.67	68	1964
contig_292	2322	2780659	1197.53	60	6648
contig_292_region	2322	2780659	1197.53	60	6648
contig_293	2311	4140300	1791.56	491	10424
contig_293_region	2311	4140300	1791.56	491	10424
contig_294	2310	2618070	1133.36	233	4359
contig_294_region	2310	2618070	1133.36	233	4359
contig_295	2286	2571778	1125.01	218	1658
contig_295_region	2286	2571778	1125.01	218	1658
contig_296	2284	1384004	605.96	155	1657
contig_296_region	2284	1384004	605.96	155	1657
contig_297	2279	2478038	1087.34	331	1537
contig_297_region	2279	2478038	1087.34	331	1537
contig_298	2256	2043904	905.99	167	1447
contig_298_region	2256	2043904	905.99	167	1447
contig_299	2251	1304426	579.49	92	1455
contig_299_region	2251	1304426	579.49	92	1455
contig_300	2238	2406258	1075.18	278	1536
contig_300_region	2238	2406258	1075.18	278	1536
contig_301	2236	1147180	513.05	199	1248
contig_301_region	2236	1147180	513.05	199	1248
contig_302	2234	2789981	1248.87	788	1801
contig_302_region	2234	2789981	1248.87	788	1801
contig_303	2233	2304046	1031.82	219	1400
contig_303_region	2233	2304046	1031.82	219	1400
contig_304	2228	2751413	1234.93	469	1844
contig_304_region	2228	2751413	1234.93	469	1844
contig_305	2228	2995951	1344.68	1057	1734
contig_305_region	2228	2995951	1344.68	1057	1734
contig_306	2227	1286281	577.58	82	865
contig_306_region	2227	1286281	577.58	82	865
contig_307	2219	2831797	1276.16	660	4537
contig_307_region	2219	2831797	1276.16	660	4537
contig_308	2219	3532326	1591.85	944	2294
contig_308_region	2219	3532326	1591.85	944	2294
