chrom	length	bases	mean	min	max
vfdb~~~lipA~~~WP_002224756~~~	2115	3210489	1517.96	477	2395
vfdb~~~lipA~~~WP_002224756~~~_region	2115	3210489	1517.96	477	2395
vfdb~~~lipB~~~WP_002223278~~~	1260	1726193	1369.99	0	1918
vfdb~~~lipB~~~WP_002223278~~~_region	1260	1726193	1369.99	0	1918
vfdb~~~lpxC~~~WP_000240700~~~	903	72	0.08	0	1
vfdb~~~lpxC~~~WP_000240700~~~_region	903	72	0.08	0	1
vfdb~~~lpxL~~~WP_000078878~~~	936	105	0.11	0	1
vfdb~~~lpxL~~~WP_000078878~~~_region	936	105	0.11	0	1
vfdb~~~mntA~~~WP_176607322~~~	726	768756	1058.89	274	1513
vfdb~~~mntA~~~WP_176607322~~~_region	726	768756	1058.89	274	1513
vfdb~~~mntB~~~WP_002222859~~~	876	1066675	1217.67	447	1549
vfdb~~~mntB~~~WP_002222859~~~_region	876	1066675	1217.67	447	1549
vfdb~~~mntC~~~WP_002225548~~~	915	1310495	1432.23	700	1691
vfdb~~~mntC~~~WP_002225548~~~_region	915	1310495	1432.23	700	1691
vfdb~~~msrA/B(pilB~~~WP_010980745~~~	1569	2076899	1323.71	641	1742
vfdb~~~msrA/B(pilB~~~WP_010980745~~~_region	1569	2076899	1323.71	641	1742
vfdb~~~mtrC~~~WP_002224968~~~	1239	1811645	1462.18	904	2256
vfdb~~~mtrC~~~WP_002224968~~~_region	1239	1811645	1462.18	904	2256
vfdb~~~mtrD~~~WP_002224969~~~	3204	3716338	1159.91	755	1816
vfdb~~~mtrD~~~WP_002224969~~~_region	3204	3716338	1159.91	755	1816
vfdb~~~mtrE~~~WP_002244265~~~	1404	1840522	1310.91	664	1637
vfdb~~~mtrE~~~WP_002244265~~~_region	1404	1840522	1310.91	664	1637
vfdb~~~nspA~~~WP_002225511~~~	525	422021	803.85	518	988
vfdb~~~nspA~~~WP_002225511~~~_region	525	422021	803.85	518	988
vfdb~~~opa~~~WP_002224935~~~	675	342714	507.72	0	2059
vfdb~~~opa~~~WP_002224935~~~_region	675	342714	507.72	0	2059
vfdb~~~opa~~~WP_002247559~~~	675	348797	516.74	0	1414
vfdb~~~opa~~~WP_002247559~~~_region	675	348797	516.74	0	1414
vfdb~~~opa~~~~~~	830	1982409	2388.44	700	3828
vfdb~~~opa~~~~~~_region	830	1982409	2388.44	700	3828
vfdb~~~opa~~~WP_079760670~~~	816	531134	650.90	0	1776
vfdb~~~opa~~~WP_079760670~~~_region	816	531134	650.90	0	1776
vfdb~~~opc~~~WP_002222545~~~	819	646946	789.92	507	963
vfdb~~~opc~~~WP_002222545~~~_region	819	646946	789.92	507	963
vfdb~~~pbpG~~~WP_003384760~~~	1047	150	0.14	0	1
vfdb~~~pbpG~~~WP_003384760~~~_region	1047	150	0.14	0	1
vfdb~~~pilC~~~WP_080610130~~~	3030	2656254	876.65	0	2451
vfdb~~~pilC~~~WP_080610130~~~_region	3030	2656254	876.65	0	2451
vfdb~~~pilC~~~~~~	3091	2950021	954.39	0	2406
vfdb~~~pilC~~~~~~_region	3091	2950021	954.39	0	2406
vfdb~~~pilD~~~WP_002212335~~~	861	1164015	1351.93	958	1558
vfdb~~~pilD~~~WP_002212335~~~_region	861	1164015	1351.93	958	1558
vfdb~~~pilE~~~WP_010980743~~~	513	194430	379.01	0	768
vfdb~~~pilE~~~WP_010980743~~~_region	513	194430	379.01	0	768
vfdb~~~pilF~~~WP_002221967~~~	1677	1945128	1159.89	548	1615
vfdb~~~pilF~~~WP_002221967~~~_region	1677	1945128	1159.89	548	1615
vfdb~~~pilG~~~WP_002216405~~~	1233	1295854	1050.98	712	1439
vfdb~~~pilG~~~WP_002216405~~~_region	1233	1295854	1050.98	712	1439
vfdb~~~pilH~~~WP_002230433~~~	669	913987	1366.20	252	1982
vfdb~~~pilH~~~WP_002230433~~~_region	669	913987	1366.20	252	1982
vfdb~~~pilI~~~WP_061706010~~~	609	635381	1043.32	593	1353
vfdb~~~pilI~~~WP_061706010~~~_region	609	635381	1043.32	593	1353
vfdb~~~pilJ~~~WP_002244084~~~	942	747817	793.86	0	1562
vfdb~~~pilJ~~~WP_002244084~~~_region	942	747817	793.86	0	1562
vfdb~~~pilK~~~WP_002244085~~~	594	716325	1205.93	768	1413
vfdb~~~pilK~~~WP_002244085~~~_region	594	716325	1205.93	768	1413
vfdb~~~pilM~~~WP_002214517~~~	1116	1086450	973.52	715	1221
vfdb~~~pilM~~~WP_002214517~~~_region	1116	1086450	973.52	715	1221
vfdb~~~pilN~~~WP_002214520~~~	600	626929	1044.88	766	1302
vfdb~~~pilN~~~WP_002214520~~~_region	600	626929	1044.88	766	1302
vfdb~~~pilO~~~WP_002217908~~~	648	627427	968.25	705	1291
vfdb~~~pilO~~~WP_002217908~~~_region	648	627427	968.25	705	1291
vfdb~~~pilP~~~WP_002214522~~~	546	588910	1078.59	698	1374
vfdb~~~pilP~~~WP_002214522~~~_region	546	588910	1078.59	698	1374
vfdb~~~pilQ~~~WP_002225652~~~	2310	2423270	1049.03	376	1348
vfdb~~~pilQ~~~WP_002225652~~~_region	2310	2423270	1049.03	376	1348
vfdb~~~pilS~~~WP_009349134~~~	462	743851	1610.07	200	10135
vfdb~~~pilS~~~WP_009349134~~~_region	462	743851	1610.07	200	10135
vfdb~~~pilS~~~WP_165439318~~~	402	354014	880.63	146	1203
vfdb~~~pilS~~~WP_165439318~~~_region	402	354014	880.63	146	1203
vfdb~~~pilS~~~~~~	387	102323	264.40	9	694
vfdb~~~pilS~~~~~~_region	387	102323	264.40	9	694
vfdb~~~pilS~~~WP_002221781~~~	339	127362	375.70	3	871
vfdb~~~pilS~~~WP_002221781~~~_region	339	127362	375.70	3	871
vfdb~~~pilS~~~WP_002221783~~~	597	1447412	2424.48	78	11197
vfdb~~~pilS~~~WP_002221783~~~_region	597	1447412	2424.48	78	11197
vfdb~~~pilS~~~WP_176607287~~~	405	404390	998.49	5	1892
vfdb~~~pilS~~~WP_176607287~~~_region	405	404390	998.49	5	1892
vfdb~~~pilT~~~WP_002218487~~~	1044	1522418	1458.25	943	1888
vfdb~~~pilT~~~WP_002218487~~~_region	1044	1522418	1458.25	943	1888
vfdb~~~pilT2~~~WP_010980842~~~	1113	1252827	1125.63	663	1437
vfdb~~~pilT2~~~WP_010980842~~~_region	1113	1252827	1125.63	663	1437
vfdb~~~pilU~~~WP_002218483~~~	1227	1911568	1557.92	587	2215
vfdb~~~pilU~~~WP_002218483~~~_region	1227	1911568	1557.92	587	2215
vfdb~~~pilV~~~WP_002226625~~~	390	400463	1026.83	555	1147
vfdb~~~pilV~~~WP_002226625~~~_region	390	400463	1026.83	555	1147
vfdb~~~pilW~~~WP_002227268~~~	762	905959	1188.92	904	1405
vfdb~~~pilW~~~WP_002227268~~~_region	762	905959	1188.92	904	1405
vfdb~~~pilX~~~WP_002225356~~~	474	551905	1164.36	531	1595
vfdb~~~pilX~~~WP_002225356~~~_region	474	551905	1164.36	531	1595
vfdb~~~pilZ~~~WP_002214009~~~	351	493265	1405.31	950	1604
vfdb~~~pilZ~~~WP_002214009~~~_region	351	493265	1405.31	950	1604
vfdb~~~plcD~~~WP_000079188~~~	1626	242	0.15	0	1
vfdb~~~plcD~~~WP_000079188~~~_region	1626	242	0.15	0	1
vfdb~~~porA~~~WP_010980936~~~	1179	1250344	1060.51	0	1484
vfdb~~~porA~~~WP_010980936~~~_region	1179	1250344	1060.51	0	1484
vfdb~~~porB~~~WP_002244345~~~	996	1123972	1128.49	144	1652
vfdb~~~porB~~~WP_002244345~~~_region	996	1123972	1128.49	144	1652
vfdb~~~recN~~~WP_002247552~~~	1674	1862494	1112.60	4	1604
vfdb~~~recN~~~WP_002247552~~~_region	1674	1862494	1112.60	4	1604
vfdb~~~rfaC~~~WP_002218264~~~	969	1229436	1268.77	653	1581
vfdb~~~rfaC~~~WP_002218264~~~_region	969	1229436	1268.77	653	1581
vfdb~~~rfaF~~~WP_002225061~~~	1011	1084134	1072.34	696	1330
vfdb~~~rfaF~~~WP_002225061~~~_region	1011	1084134	1072.34	696	1330
vfdb~~~rfaK~~~WP_002222112~~~	1065	1326714	1245.74	769	1702
vfdb~~~rfaK~~~WP_002222112~~~_region	1065	1326714	1245.74	769	1702
vfdb~~~siaA/synA~~~WP_002226892~~~	1134	1433990	1264.54	677	1807
vfdb~~~siaA/synA~~~WP_002226892~~~_region	1134	1433990	1264.54	677	1807
vfdb~~~siaB/synB~~~WP_002215295~~~	687	926049	1347.96	1009	1570
vfdb~~~siaB/synB~~~WP_002215295~~~_region	687	926049	1347.96	1009	1570
vfdb~~~siaC/synC~~~WP_002215299~~~	1050	1398783	1332.17	608	1781
vfdb~~~siaC/synC~~~WP_002215299~~~_region	1050	1398783	1332.17	608	1781
vfdb~~~siaD/synD~~~~~~	645	265700	411.94	1	500
vfdb~~~siaD/synD~~~~~~_region	645	265700	411.94	1	500
vfdb~~~tbpA~~~WP_010980797~~~	2748	3386378	1232.31	15	1855
vfdb~~~tbpA~~~WP_010980797~~~_region	2748	3386378	1232.31	15	1855
vfdb~~~tbpB~~~WP_010980796~~~	2139	1550873	725.05	0	1407
vfdb~~~tbpB~~~WP_010980796~~~_region	2139	1550873	725.05	0	1407
total	121681	107992317	887.50	0	11197
total_region	121681	107992317	887.50	0	11197
