染色体	类型	起始位置	终止位置	链方向	基因名称	locus标签
contig_2	CDS	13762	14049	+	-	LCEDHOCC_00028
contig_2	gene	14230	14946	-	trmB_1	LCEDHOCC_00029_gene
contig_2	CDS	14230	14946	-	trmB_1	LCEDHOCC_00029
contig_2	gene	15068	16471	-	-	LCEDHOCC_00030_gene
contig_2	CDS	15068	16471	-	-	LCEDHOCC_00030
contig_3	gene	804	1199	+	-	LCEDHOCC_00031_gene
contig_3	CDS	804	1199	+	-	LCEDHOCC_00031
contig_3	gene	1275	2036	-	-	LCEDHOCC_00032_gene
contig_3	CDS	1275	2036	-	-	LCEDHOCC_00032
contig_3	gene	2039	3133	-	rlmN	LCEDHOCC_00033_gene
contig_3	CDS	2039	3133	-	rlmN	LCEDHOCC_00033
contig_3	gene	3276	3701	-	ndk	LCEDHOCC_00034_gene
contig_3	CDS	3276	3701	-	ndk	LCEDHOCC_00034
contig_3	gene	3760	4911	-	zapE	LCEDHOCC_00035_gene
contig_3	CDS	3760	4911	-	zapE	LCEDHOCC_00035
contig_3	gene	5447	6274	-	-	LCEDHOCC_00036_gene
contig_3	CDS	5447	6274	-	-	LCEDHOCC_00036
contig_3	gene	6283	7419	-	frmA	LCEDHOCC_00037_gene
contig_3	CDS	6283	7419	-	frmA	LCEDHOCC_00037
contig_3	gene	7540	7947	+	-	LCEDHOCC_00038_gene
contig_3	CDS	7540	7947	+	-	LCEDHOCC_00038
contig_3	gene	8298	8612	-	ihfB	LCEDHOCC_00039_gene
contig_3	CDS	8298	8612	-	ihfB	LCEDHOCC_00039
contig_3	gene	8623	10308	-	rpsA	LCEDHOCC_00040_gene
contig_3	CDS	8623	10308	-	rpsA	LCEDHOCC_00040
contig_3	gene	10463	11119	-	cmk	LCEDHOCC_00041_gene
contig_3	CDS	10463	11119	-	cmk	LCEDHOCC_00041
contig_3	gene	11363	11533	-	-	LCEDHOCC_00042_gene
contig_3	CDS	11363	11533	-	-	LCEDHOCC_00042
contig_3	gene	11527	12171	-	-	LCEDHOCC_00043_gene
contig_3	CDS	11527	12171	-	-	LCEDHOCC_00043
contig_3	gene	12374	12619	-	-	LCEDHOCC_00044_gene
contig_3	CDS	12374	12619	-	-	LCEDHOCC_00044
contig_3	gene	13307	14077	-	rsuA	LCEDHOCC_00045_gene
contig_3	CDS	13307	14077	-	rsuA	LCEDHOCC_00045
contig_3	gene	14067	16043	-	-	LCEDHOCC_00046_gene
contig_3	CDS	14067	16043	-	-	LCEDHOCC_00046
contig_4	gene	31	1425	+	speE_1	LCEDHOCC_00047_gene
contig_4	CDS	31	1425	+	speE_1	LCEDHOCC_00047
contig_4	gene	1876	2232	+	ndhC	LCEDHOCC_00048_gene
contig_4	CDS	1876	2232	+	ndhC	LCEDHOCC_00048
contig_4	gene	2223	2705	+	nuoB	LCEDHOCC_00049_gene
contig_4	CDS	2223	2705	+	nuoB	LCEDHOCC_00049
contig_4	gene	2718	3311	+	ndhJ	LCEDHOCC_00050_gene
contig_4	CDS	2718	3311	+	ndhJ	LCEDHOCC_00050
contig_4	gene	3301	4557	+	nuoD	LCEDHOCC_00051_gene
contig_4	CDS	3301	4557	+	nuoD	LCEDHOCC_00051
contig_4	gene	4620	5060	+	-	LCEDHOCC_00052_gene
contig_4	CDS	4620	5060	+	-	LCEDHOCC_00052
contig_4	gene	5114	5587	+	nqo2	LCEDHOCC_00053_gene
contig_4	CDS	5114	5587	+	nqo2	LCEDHOCC_00053
contig_4	gene	5976	7277	+	nuoF	LCEDHOCC_00054_gene
contig_4	CDS	5976	7277	+	nuoF	LCEDHOCC_00054
contig_4	gene	7277	7651	+	-	LCEDHOCC_00055_gene
contig_4	CDS	7277	7651	+	-	LCEDHOCC_00055
contig_4	gene	7862	8173	+	-	LCEDHOCC_00056_gene
contig_4	CDS	7862	8173	+	-	LCEDHOCC_00056
contig_4	gene	8455	10716	+	nqo3	LCEDHOCC_00057_gene
contig_4	CDS	8455	10716	+	nqo3	LCEDHOCC_00057
contig_4	gene	10719	11795	+	nuoH	LCEDHOCC_00058_gene
contig_4	CDS	10719	11795	+	nuoH	LCEDHOCC_00058
contig_4	gene	11876	12355	+	nuoI	LCEDHOCC_00059_gene
contig_4	CDS	11876	12355	+	nuoI	LCEDHOCC_00059
contig_4	gene	12367	13038	+	-	LCEDHOCC_00060_gene
contig_4	CDS	12367	13038	+	-	LCEDHOCC_00060
contig_4	gene	13035	13340	+	nuoK	LCEDHOCC_00061_gene
contig_4	CDS	13035	13340	+	nuoK	LCEDHOCC_00061
contig_4	gene	13404	13949	+	-	LCEDHOCC_00062_gene
contig_4	CDS	13404	13949	+	-	LCEDHOCC_00062
contig_4	gene	14076	14414	+	-	LCEDHOCC_00063_gene
contig_4	CDS	14076	14414	+	-	LCEDHOCC_00063
contig_5	gene	138	2024	-	uvrC	LCEDHOCC_00064_gene
contig_5	CDS	138	2024	-	uvrC	LCEDHOCC_00064
contig_5	gene	2088	4250	-	copA_1	LCEDHOCC_00065_gene
contig_5	CDS	2088	4250	-	copA_1	LCEDHOCC_00065
contig_5	gene	4389	5339	+	-	LCEDHOCC_00066_gene
contig_5	CDS	4389	5339	+	-	LCEDHOCC_00066
contig_5	gene	5495	5863	+	rpsF	LCEDHOCC_00067_gene
contig_5	CDS	5495	5863	+	rpsF	LCEDHOCC_00067
contig_5	gene	6173	6403	+	rpsR	LCEDHOCC_00068_gene
contig_5	CDS	6173	6403	+	rpsR	LCEDHOCC_00068
contig_5	gene	6420	6872	+	rplI	LCEDHOCC_00069_gene
contig_5	CDS	6420	6872	+	rplI	LCEDHOCC_00069
contig_5	gene	7830	8636	-	-	LCEDHOCC_00070_gene
contig_5	CDS	7830	8636	-	-	LCEDHOCC_00070
contig_5	gene	8637	9383	-	-	LCEDHOCC_00071_gene
contig_5	CDS	8637	9383	-	-	LCEDHOCC_00071
contig_5	gene	9967	10449	+	-	LCEDHOCC_00072_gene
contig_5	CDS	9967	10449	+	-	LCEDHOCC_00072
contig_5	gene	10501	11712	-	pyrP	LCEDHOCC_00073_gene
contig_5	CDS	10501	11712	-	pyrP	LCEDHOCC_00073
contig_5	gene	11935	14373	+	ftsK	LCEDHOCC_00074_gene
contig_5	CDS	11935	14373	+	ftsK	LCEDHOCC_00074
contig_6	gene	848	1066	+	-	LCEDHOCC_00075_gene
contig_6	CDS	848	1066	+	-	LCEDHOCC_00075
contig_6	gene	1804	2484	+	-	LCEDHOCC_00076_gene
contig_6	CDS	1804	2484	+	-	LCEDHOCC_00076
contig_6	gene	2513	2872	+	crcB	LCEDHOCC_00077_gene
contig_6	CDS	2513	2872	+	crcB	LCEDHOCC_00077
contig_6	gene	3004	3432	-	-	LCEDHOCC_00078_gene
contig_6	CDS	3004	3432	-	-	LCEDHOCC_00078
contig_6	gene	3951	4487	-	nudF	LCEDHOCC_00079_gene
contig_6	CDS	3951	4487	-	nudF	LCEDHOCC_00079
contig_6	gene	4521	4877	-	folB	LCEDHOCC_00080_gene
contig_6	CDS	4521	4877	-	folB	LCEDHOCC_00080
contig_6	gene	4933	5535	+	plsY	LCEDHOCC_00081_gene
contig_6	CDS	4933	5535	+	plsY	LCEDHOCC_00081
contig_6	gene	5612	6457	+	rlmJ	LCEDHOCC_00082_gene
contig_6	CDS	5612	6457	+	rlmJ	LCEDHOCC_00082
contig_6	gene	6703	7677	+	fbp_1	LCEDHOCC_00083_gene
contig_6	CDS	6703	7677	+	fbp_1	LCEDHOCC_00083
contig_6	gene	7835	8053	-	-	LCEDHOCC_00084_gene
contig_6	CDS	7835	8053	-	-	LCEDHOCC_00084
contig_6	gene	8827	10602	+	ggt	LCEDHOCC_00085_gene
contig_6	CDS	8827	10602	+	ggt	LCEDHOCC_00085
contig_6	gene	11101	12351	+	glyA	LCEDHOCC_00086_gene
contig_6	CDS	11101	12351	+	glyA	LCEDHOCC_00086
contig_7	gene	229	867	-	eda	LCEDHOCC_00087_gene
contig_7	CDS	229	867	-	eda	LCEDHOCC_00087
contig_7	gene	1064	2899	-	edd	LCEDHOCC_00088_gene
contig_7	CDS	1064	2899	-	edd	LCEDHOCC_00088
contig_7	gene	3417	4862	+	zwf	LCEDHOCC_00089_gene
contig_7	CDS	3417	4862	+	zwf	LCEDHOCC_00089
contig_7	gene	5142	5837	+	pgl	LCEDHOCC_00090_gene
contig_7	CDS	5142	5837	+	pgl	LCEDHOCC_00090
contig_7	gene	5818	6804	+	glk	LCEDHOCC_00091_gene
contig_7	CDS	5818	6804	+	glk	LCEDHOCC_00091
contig_7	gene	6854	7702	+	hexR	LCEDHOCC_00092_gene
contig_7	CDS	6854	7702	+	hexR	LCEDHOCC_00092
contig_7	gene	7823	9469	+	pgi_1	LCEDHOCC_00093_gene
contig_7	CDS	7823	9469	+	pgi_1	LCEDHOCC_00093
contig_7	gene	9612	10034	+	-	LCEDHOCC_00094_gene
contig_7	CDS	9612	10034	+	-	LCEDHOCC_00094
contig_7	gene	10079	10219	+	-	LCEDHOCC_00095_gene
contig_7	CDS	10079	10219	+	-	LCEDHOCC_00095
contig_7	gene	11078	11482	-	-	LCEDHOCC_00096_gene
contig_7	CDS	11078	11482	-	-	LCEDHOCC_00096
contig_7	gene	11639	12394	-	gyrA	LCEDHOCC_00097_gene
contig_7	CDS	11639	12394	-	gyrA	LCEDHOCC_00097
contig_8	gene	126	359	-	-	LCEDHOCC_00098_gene
contig_8	CDS	126	359	-	-	LCEDHOCC_00098
contig_8	gene	1741	2178	+	-	LCEDHOCC_00099_gene
contig_8	CDS	1741	2178	+	-	LCEDHOCC_00099
contig_8	gene	2972	3277	+	-	LCEDHOCC_00100_gene
contig_8	CDS	2972	3277	+	-	LCEDHOCC_00100
contig_8	gene	4459	5871	+	-	LCEDHOCC_00101_gene
contig_8	CDS	4459	5871	+	-	LCEDHOCC_00101
contig_8	gene	6273	6737	+	-	LCEDHOCC_00102_gene
contig_8	CDS	6273	6737	+	-	LCEDHOCC_00102
contig_8	gene	6864	8153	+	-	LCEDHOCC_00103_gene
contig_8	CDS	6864	8153	+	-	LCEDHOCC_00103
contig_8	gene	8478	10265	-	-	LCEDHOCC_00104_gene
contig_8	CDS	8478	10265	-	-	LCEDHOCC_00104
contig_8	gene	10320	10778	-	ltxC	LCEDHOCC_00105_gene
contig_8	CDS	10320	10778	-	ltxC	LCEDHOCC_00105
contig_8	gene	11376	11516	+	-	LCEDHOCC_00106_gene
contig_8	CDS	11376	11516	+	-	LCEDHOCC_00106
contig_8	gene	11659	12225	-	-	LCEDHOCC_00107_gene
contig_8	CDS	11659	12225	-	-	LCEDHOCC_00107
contig_9	gene	39	689	+	tufA	LCEDHOCC_00108_gene
contig_9	CDS	39	689	+	tufA	LCEDHOCC_00108
contig_9	gene	707	1018	+	rpsJ	LCEDHOCC_00109_gene
contig_9	CDS	707	1018	+	rpsJ	LCEDHOCC_00109
contig_9	gene	1139	1537	+	-	LCEDHOCC_00110_gene
contig_9	CDS	1139	1537	+	-	LCEDHOCC_00110
contig_9	gene	1708	2352	+	rplC	LCEDHOCC_00111_gene
contig_9	CDS	1708	2352	+	rplC	LCEDHOCC_00111
contig_9	gene	2352	2972	+	rplD	LCEDHOCC_00112_gene
contig_9	CDS	2352	2972	+	rplD	LCEDHOCC_00112
contig_9	gene	2969	3283	+	rplW	LCEDHOCC_00113_gene
contig_9	CDS	2969	3283	+	rplW	LCEDHOCC_00113
contig_9	gene	3289	4122	+	rplB	LCEDHOCC_00114_gene
contig_9	CDS	3289	4122	+	rplB	LCEDHOCC_00114
contig_9	gene	4129	4407	+	rpsS	LCEDHOCC_00115_gene
contig_9	CDS	4129	4407	+	rpsS	LCEDHOCC_00115
contig_9	gene	4416	4745	+	rplV	LCEDHOCC_00116_gene
contig_9	CDS	4416	4745	+	rplV	LCEDHOCC_00116
contig_9	gene	4755	5447	+	rpsC	LCEDHOCC_00117_gene
contig_9	CDS	4755	5447	+	rpsC	LCEDHOCC_00117
contig_9	gene	5377	5844	-	-	LCEDHOCC_00118_gene
contig_9	CDS	5377	5844	-	-	LCEDHOCC_00118
contig_9	gene	5847	6038	+	rpmC	LCEDHOCC_00119_gene
contig_9	CDS	5847	6038	+	rpmC	LCEDHOCC_00119
contig_9	gene	6038	6301	+	rpsQ	LCEDHOCC_00120_gene
contig_9	CDS	6038	6301	+	rpsQ	LCEDHOCC_00120
contig_9	gene	6523	6891	+	rplN	LCEDHOCC_00121_gene
contig_9	CDS	6523	6891	+	rplN	LCEDHOCC_00121
contig_9	gene	6903	7226	+	rplX	LCEDHOCC_00122_gene
contig_9	CDS	6903	7226	+	rplX	LCEDHOCC_00122
contig_9	gene	7236	7775	+	rplE	LCEDHOCC_00123_gene
contig_9	CDS	7236	7775	+	rplE	LCEDHOCC_00123
contig_9	gene	7778	8083	+	rpsN	LCEDHOCC_00124_gene
contig_9	CDS	7778	8083	+	rpsN	LCEDHOCC_00124
contig_9	gene	8099	8491	+	rpsH	LCEDHOCC_00125_gene
contig_9	CDS	8099	8491	+	rpsH	LCEDHOCC_00125
contig_9	gene	8505	9038	+	rplF	LCEDHOCC_00126_gene
contig_9	CDS	8505	9038	+	rplF	LCEDHOCC_00126
contig_9	gene	9052	9405	+	-	LCEDHOCC_00127_gene
contig_9	CDS	9052	9405	+	-	LCEDHOCC_00127
contig_9	gene	9424	9942	+	rpsE	LCEDHOCC_00128_gene
contig_9	CDS	9424	9942	+	rpsE	LCEDHOCC_00128
contig_9	gene	9935	10120	+	rpmD	LCEDHOCC_00129_gene
contig_9	CDS	9935	10120	+	rpmD	LCEDHOCC_00129
contig_9	gene	10162	10329	+	-	LCEDHOCC_00130_gene
contig_9	CDS	10162	10329	+	-	LCEDHOCC_00130
contig_9	gene	10568	11878	+	secY	LCEDHOCC_00131_gene
contig_9	CDS	10568	11878	+	secY	LCEDHOCC_00131
contig_10	gene	106	1668	+	speA	LCEDHOCC_00132_gene
contig_10	CDS	106	1668	+	speA	LCEDHOCC_00132
contig_10	gene	1767	2690	+	speB	LCEDHOCC_00133_gene
contig_10	CDS	1767	2690	+	speB	LCEDHOCC_00133
contig_10	gene	2888	4354	+	yflS	LCEDHOCC_00134_gene
contig_10	CDS	2888	4354	+	yflS	LCEDHOCC_00134
contig_10	gene	4561	5595	-	-	LCEDHOCC_00135_gene
contig_10	CDS	4561	5595	-	-	LCEDHOCC_00135
contig_10	gene	5860	7002	+	bioF	LCEDHOCC_00136_gene
contig_10	CDS	5860	7002	+	bioF	LCEDHOCC_00136
contig_10	gene	7012	7659	+	-	LCEDHOCC_00137_gene
contig_10	CDS	7012	7659	+	-	LCEDHOCC_00137
contig_10	gene	7647	8429	+	tam	LCEDHOCC_00138_gene
contig_10	CDS	7647	8429	+	tam	LCEDHOCC_00138
contig_10	gene	8649	10085	+	-	LCEDHOCC_00139_gene
contig_10	CDS	8649	10085	+	-	LCEDHOCC_00139
contig_10	gene	10088	11185	+	-	LCEDHOCC_00140_gene
contig_10	CDS	10088	11185	+	-	LCEDHOCC_00140
contig_11	gene	237	680	-	-	LCEDHOCC_00141_gene
contig_11	CDS	237	680	-	-	LCEDHOCC_00141
contig_11	gene	687	1202	-	-	LCEDHOCC_00142_gene
contig_11	CDS	687	1202	-	-	LCEDHOCC_00142
contig_11	gene	1469	4105	+	leuS	LCEDHOCC_00143_gene
contig_11	CDS	1469	4105	+	leuS	LCEDHOCC_00143
contig_11	gene	4333	5124	+	dpnC	LCEDHOCC_00144_gene
contig_11	CDS	4333	5124	+	dpnC	LCEDHOCC_00144
contig_11	gene	5254	5385	+	-	LCEDHOCC_00145_gene
contig_11	CDS	5254	5385	+	-	LCEDHOCC_00145
contig_11	gene	5615	6340	+	bepA	LCEDHOCC_00146_gene
contig_11	CDS	5615	6340	+	bepA	LCEDHOCC_00146
contig_11	gene	6738	7049	-	-	LCEDHOCC_00147_gene
contig_11	CDS	6738	7049	-	-	LCEDHOCC_00147
contig_11	gene	7046	7414	-	-	LCEDHOCC_00148_gene
contig_11	CDS	7046	7414	-	-	LCEDHOCC_00148
contig_11	gene	8228	8313	-	-	LCEDHOCC_00149_gene
contig_11	tRNA	8228	8313	-	-	LCEDHOCC_00149
contig_11	gene	8327	8677	-	secG	LCEDHOCC_00150_gene
contig_11	CDS	8327	8677	-	secG	LCEDHOCC_00150
contig_11	gene	8684	9457	-	tpiA	LCEDHOCC_00151_gene
contig_11	CDS	8684	9457	-	tpiA	LCEDHOCC_00151
contig_11	gene	9641	10144	+	msrC	LCEDHOCC_00152_gene
contig_11	CDS	9641	10144	+	msrC	LCEDHOCC_00152
contig_11	gene	10246	10902	+	pcm	LCEDHOCC_00153_gene
contig_11	CDS	10246	10902	+	pcm	LCEDHOCC_00153
contig_12	gene	1095	1865	-	xthA	LCEDHOCC_00154_gene
contig_12	CDS	1095	1865	-	xthA	LCEDHOCC_00154
contig_12	gene	1919	2206	-	-	LCEDHOCC_00155_gene
contig_12	CDS	1919	2206	-	-	LCEDHOCC_00155
contig_12	gene	2674	3555	-	nadC	LCEDHOCC_00156_gene
contig_12	CDS	2674	3555	-	nadC	LCEDHOCC_00156
contig_12	gene	3631	4569	-	-	LCEDHOCC_00157_gene
contig_12	CDS	3631	4569	-	-	LCEDHOCC_00157
contig_12	gene	4876	5988	+	nadA	LCEDHOCC_00158_gene
contig_12	CDS	4876	5988	+	nadA	LCEDHOCC_00158
contig_12	gene	6040	7548	+	nadB	LCEDHOCC_00159_gene
contig_12	CDS	6040	7548	+	nadB	LCEDHOCC_00159
contig_12	gene	7724	8389	-	pgmB	LCEDHOCC_00160_gene
contig_12	CDS	7724	8389	-	pgmB	LCEDHOCC_00160
contig_12	gene	8402	10660	-	malP	LCEDHOCC_00161_gene
contig_12	CDS	8402	10660	-	malP	LCEDHOCC_00161
contig_13	gene	182	700	-	-	LCEDHOCC_00162_gene
contig_13	CDS	182	700	-	-	LCEDHOCC_00162
contig_13	gene	715	942	-	-	LCEDHOCC_00163_gene
contig_13	CDS	715	942	-	-	LCEDHOCC_00163
contig_13	gene	1006	1173	-	-	LCEDHOCC_00164_gene
contig_13	CDS	1006	1173	-	-	LCEDHOCC_00164
contig_13	gene	1166	1339	-	-	LCEDHOCC_00165_gene
contig_13	CDS	1166	1339	-	-	LCEDHOCC_00165
contig_13	gene	1448	1714	-	-	LCEDHOCC_00166_gene
contig_13	CDS	1448	1714	-	-	LCEDHOCC_00166
contig_13	gene	1804	2718	-	-	LCEDHOCC_00167_gene
contig_13	CDS	1804	2718	-	-	LCEDHOCC_00167
contig_13	gene	2933	4921	-	-	LCEDHOCC_00168_gene
contig_13	CDS	2933	4921	-	-	LCEDHOCC_00168
contig_13	gene	5240	5602	+	-	LCEDHOCC_00169_gene
contig_13	CDS	5240	5602	+	-	LCEDHOCC_00169
contig_13	gene	5878	6318	+	-	LCEDHOCC_00170_gene
contig_13	CDS	5878	6318	+	-	LCEDHOCC_00170
contig_13	gene	6566	7117	+	bacA_1	LCEDHOCC_00171_gene
contig_13	CDS	6566	7117	+	bacA_1	LCEDHOCC_00171
contig_13	gene	7222	7890	+	hda	LCEDHOCC_00172_gene
contig_13	CDS	7222	7890	+	hda	LCEDHOCC_00172
contig_13	gene	7887	8555	+	-	LCEDHOCC_00173_gene
contig_13	CDS	7887	8555	+	-	LCEDHOCC_00173
contig_13	gene	9048	9491	+	-	LCEDHOCC_00174_gene
contig_13	CDS	9048	9491	+	-	LCEDHOCC_00174
contig_14	gene	471	1037	+	mntP	LCEDHOCC_00175_gene
contig_14	CDS	471	1037	+	mntP	LCEDHOCC_00175
contig_14	gene	1714	3750	-	prlC	LCEDHOCC_00176_gene
contig_14	CDS	1714	3750	-	prlC	LCEDHOCC_00176
contig_14	gene	3838	4710	-	-	LCEDHOCC_00177_gene
contig_14	CDS	3838	4710	-	-	LCEDHOCC_00177
contig_14	gene	4980	7370	+	gyrB	LCEDHOCC_00178_gene
contig_14	CDS	4980	7370	+	gyrB	LCEDHOCC_00178
contig_14	gene	7400	8854	+	sdaB	LCEDHOCC_00179_gene
contig_14	CDS	7400	8854	+	sdaB	LCEDHOCC_00179
contig_15	gene	16	1083	+	metZ	LCEDHOCC_00180_gene
contig_15	CDS	16	1083	+	metZ	LCEDHOCC_00180
contig_15	gene	1178	1384	+	-	LCEDHOCC_00181_gene
contig_15	CDS	1178	1384	+	-	LCEDHOCC_00181
contig_15	gene	2381	3133	-	rsmJ	LCEDHOCC_00182_gene
contig_15	CDS	2381	3133	-	rsmJ	LCEDHOCC_00182
contig_15	gene	3237	3704	-	rssB	LCEDHOCC_00183_gene
contig_15	CDS	3237	3704	-	rssB	LCEDHOCC_00183
contig_15	gene	3756	5273	-	sasA	LCEDHOCC_00184_gene
contig_15	CDS	3756	5273	-	sasA	LCEDHOCC_00184
contig_15	gene	5293	7590	-	parC	LCEDHOCC_00185_gene
contig_15	CDS	5293	7590	-	parC	LCEDHOCC_00185
contig_15	gene	7893	8576	+	gpmA	LCEDHOCC_00186_gene
contig_15	CDS	7893	8576	+	gpmA	LCEDHOCC_00186
contig_16	gene	136	528	+	-	LCEDHOCC_00187_gene
contig_16	CDS	136	528	+	-	LCEDHOCC_00187
contig_16	gene	642	1202	+	-	LCEDHOCC_00188_gene
contig_16	CDS	642	1202	+	-	LCEDHOCC_00188
contig_16	gene	1503	2342	-	htpX	LCEDHOCC_00189_gene
contig_16	CDS	1503	2342	-	htpX	LCEDHOCC_00189
contig_16	gene	2557	3204	+	adk	LCEDHOCC_00190_gene
contig_16	CDS	2557	3204	+	adk	LCEDHOCC_00190
contig_16	gene	3730	4470	+	pyrF	LCEDHOCC_00191_gene
contig_16	CDS	3730	4470	+	pyrF	LCEDHOCC_00191
contig_16	gene	4526	5497	+	rfaE	LCEDHOCC_00192_gene
contig_16	CDS	4526	5497	+	rfaE	LCEDHOCC_00192
contig_16	gene	5549	6769	+	hpaIIM	LCEDHOCC_00193_gene
contig_16	CDS	5549	6769	+	hpaIIM	LCEDHOCC_00193
contig_16	gene	6771	7889	+	-	LCEDHOCC_00194_gene
contig_16	CDS	6771	7889	+	-	LCEDHOCC_00194
contig_16	gene	7930	8934	+	hldD	LCEDHOCC_00195_gene
contig_16	CDS	7930	8934	+	hldD	LCEDHOCC_00195
contig_17	gene	25	222	+	sotB	LCEDHOCC_00196_gene
contig_17	CDS	25	222	+	sotB	LCEDHOCC_00196
contig_17	gene	352	1788	+	-	LCEDHOCC_00197_gene
contig_17	CDS	352	1788	+	-	LCEDHOCC_00197
contig_17	gene	1799	2782	+	-	LCEDHOCC_00198_gene
contig_17	CDS	1799	2782	+	-	LCEDHOCC_00198
contig_17	gene	2779	3969	+	-	LCEDHOCC_00199_gene
contig_17	CDS	2779	3969	+	-	LCEDHOCC_00199
contig_17	gene	4174	5727	+	lcfB	LCEDHOCC_00200_gene
contig_17	CDS	4174	5727	+	lcfB	LCEDHOCC_00200
contig_17	gene	5818	7845	-	betS	LCEDHOCC_00201_gene
contig_17	CDS	5818	7845	-	betS	LCEDHOCC_00201
contig_18	gene	120	1382	+	-	LCEDHOCC_00202_gene
contig_18	CDS	120	1382	+	-	LCEDHOCC_00202
contig_18	gene	1507	2865	+	murF	LCEDHOCC_00203_gene
contig_18	CDS	1507	2865	+	murF	LCEDHOCC_00203
contig_18	gene	2868	3044	+	-	LCEDHOCC_00204_gene
contig_18	CDS	2868	3044	+	-	LCEDHOCC_00204
contig_18	gene	3291	4373	+	mraY	LCEDHOCC_00205_gene
contig_18	CDS	3291	4373	+	mraY	LCEDHOCC_00205
contig_18	gene	4488	4760	+	-	LCEDHOCC_00206_gene
contig_18	CDS	4488	4760	+	-	LCEDHOCC_00206
contig_18	gene	4845	6182	+	murD	LCEDHOCC_00207_gene
contig_18	CDS	4845	6182	+	murD	LCEDHOCC_00207
contig_18	gene	6308	7633	+	ftsW	LCEDHOCC_00208_gene
contig_18	CDS	6308	7633	+	ftsW	LCEDHOCC_00208
contig_18	gene	7637	8704	+	murG	LCEDHOCC_00209_gene
contig_18	CDS	7637	8704	+	murG	LCEDHOCC_00209
