locus_tag	ftype	length_bp	gene	EC_number	COG	product
LCEDHOCC_00065	gene	2163	copA_1			
LCEDHOCC_00065	CDS	2163	copA_1	7.2.2.8	COG2217	Copper-exporting P-type ATPase
LCEDHOCC_00066	gene	951				
LCEDHOCC_00066	CDS	951		4.3.1.9	COG0492	Glucosaminate ammonia-lyase
LCEDHOCC_00067	gene	369	rpsF			
LCEDHOCC_00067	CDS	369	rpsF		COG0360	30S ribosomal protein S6
LCEDHOCC_00068	gene	231	rpsR			
LCEDHOCC_00068	CDS	231	rpsR		COG0238	30S ribosomal protein S18
LCEDHOCC_00069	gene	453	rplI			
LCEDHOCC_00069	CDS	453	rplI		COG0359	50S ribosomal protein L9
LCEDHOCC_00070	gene	807				
LCEDHOCC_00070	CDS	807				hypothetical protein
LCEDHOCC_00071	gene	747				
LCEDHOCC_00071	CDS	747				hypothetical protein
LCEDHOCC_00072	gene	483				
LCEDHOCC_00072	CDS	483				hypothetical protein
LCEDHOCC_00073	gene	1212	pyrP			
LCEDHOCC_00073	CDS	1212	pyrP			Uracil permease
LCEDHOCC_00074	gene	2439	ftsK			
LCEDHOCC_00074	CDS	2439	ftsK		COG1674	DNA translocase FtsK
LCEDHOCC_00075	gene	219				
LCEDHOCC_00075	CDS	219				hypothetical protein
LCEDHOCC_00076	gene	681				
LCEDHOCC_00076	CDS	681				hypothetical protein
LCEDHOCC_00077	gene	360	crcB			
LCEDHOCC_00077	CDS	360	crcB		COG0239	Putative fluoride ion transporter CrcB
LCEDHOCC_00078	gene	429				
LCEDHOCC_00078	CDS	429				hypothetical protein
LCEDHOCC_00079	gene	537	nudF			
LCEDHOCC_00079	CDS	537	nudF	3.6.1.13	COG0494	ADP-ribose pyrophosphatase
LCEDHOCC_00080	gene	357	folB			
LCEDHOCC_00080	CDS	357	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
LCEDHOCC_00081	gene	603	plsY			
LCEDHOCC_00081	CDS	603	plsY	2.3.1.15	COG0344	putative glycerol-3-phosphate acyltransferase
LCEDHOCC_00082	gene	846	rlmJ			
LCEDHOCC_00082	CDS	846	rlmJ	2.1.1.266	COG2961	Ribosomal RNA large subunit methyltransferase J
LCEDHOCC_00083	gene	975	fbp_1			
LCEDHOCC_00083	CDS	975	fbp_1	3.1.3.11	COG0158	Fructose-1,6-bisphosphatase class 1
LCEDHOCC_00084	gene	219				
LCEDHOCC_00084	CDS	219				hypothetical protein
LCEDHOCC_00085	gene	1776	ggt			
LCEDHOCC_00085	CDS	1776	ggt	3.4.19.13	COG0405	Glutathione hydrolase proenzyme
LCEDHOCC_00086	gene	1251	glyA			
LCEDHOCC_00086	CDS	1251	glyA	2.1.2.1	COG0112	Serine hydroxymethyltransferase
LCEDHOCC_00087	gene	639	eda			
LCEDHOCC_00087	CDS	639	eda		COG0800	KHG/KDPG aldolase
LCEDHOCC_00088	gene	1836	edd			
LCEDHOCC_00088	CDS	1836	edd	4.2.1.12	COG0129	Phosphogluconate dehydratase
LCEDHOCC_00089	gene	1446	zwf			
LCEDHOCC_00089	CDS	1446	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
LCEDHOCC_00090	gene	696	pgl			
LCEDHOCC_00090	CDS	696	pgl	3.1.1.31	COG0363	6-phosphogluconolactonase
LCEDHOCC_00091	gene	987	glk			
LCEDHOCC_00091	CDS	987	glk	2.7.1.2	COG0837	Glucokinase
LCEDHOCC_00092	gene	849	hexR			
LCEDHOCC_00092	CDS	849	hexR		COG1737	HTH-type transcriptional regulator HexR
LCEDHOCC_00093	gene	1647	pgi_1			
LCEDHOCC_00093	CDS	1647	pgi_1	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
LCEDHOCC_00094	gene	423				
LCEDHOCC_00094	CDS	423				hypothetical protein
LCEDHOCC_00095	gene	141				
LCEDHOCC_00095	CDS	141				hypothetical protein
LCEDHOCC_00096	gene	405				
LCEDHOCC_00096	CDS	405				hypothetical protein
LCEDHOCC_00097	gene	756	gyrA			
LCEDHOCC_00097	CDS	756	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
LCEDHOCC_00098	gene	234				
LCEDHOCC_00098	CDS	234				hypothetical protein
LCEDHOCC_00099	gene	438				
LCEDHOCC_00099	CDS	438				hypothetical protein
LCEDHOCC_00100	gene	306				
LCEDHOCC_00100	CDS	306				hypothetical protein
LCEDHOCC_00101	gene	1413				
LCEDHOCC_00101	CDS	1413				hypothetical protein
LCEDHOCC_00102	gene	465				
LCEDHOCC_00102	CDS	465				hypothetical protein
LCEDHOCC_00103	gene	1290				
LCEDHOCC_00103	CDS	1290				hypothetical protein
LCEDHOCC_00104	gene	1788				
LCEDHOCC_00104	CDS	1788				hypothetical protein
LCEDHOCC_00105	gene	459	ltxC			
LCEDHOCC_00105	CDS	459	ltxC	2.3.1.-		Leukotoxin-activating lysine-acyltransferase LtxC
LCEDHOCC_00106	gene	141				
LCEDHOCC_00106	CDS	141				hypothetical protein
LCEDHOCC_00107	gene	567				
LCEDHOCC_00107	CDS	567				hypothetical protein
LCEDHOCC_00108	gene	651	tufA			
LCEDHOCC_00108	CDS	651	tufA		COG0050	Elongation factor Tu
LCEDHOCC_00109	gene	312	rpsJ			
LCEDHOCC_00109	CDS	312	rpsJ		COG0051	30S ribosomal protein S10
LCEDHOCC_00110	gene	399				
LCEDHOCC_00110	CDS	399				hypothetical protein
LCEDHOCC_00111	gene	645	rplC			
LCEDHOCC_00111	CDS	645	rplC		COG0087	50S ribosomal protein L3
LCEDHOCC_00112	gene	621	rplD			
LCEDHOCC_00112	CDS	621	rplD		COG0088	50S ribosomal protein L4
LCEDHOCC_00113	gene	315	rplW			
LCEDHOCC_00113	CDS	315	rplW		COG0089	50S ribosomal protein L23
LCEDHOCC_00114	gene	834	rplB			
LCEDHOCC_00114	CDS	834	rplB		COG0090	50S ribosomal protein L2
LCEDHOCC_00115	gene	279	rpsS			
LCEDHOCC_00115	CDS	279	rpsS		COG0185	30S ribosomal protein S19
LCEDHOCC_00116	gene	330	rplV			
LCEDHOCC_00116	CDS	330	rplV		COG0091	50S ribosomal protein L22
LCEDHOCC_00117	gene	693	rpsC			
LCEDHOCC_00117	CDS	693	rpsC		COG0092	30S ribosomal protein S3
LCEDHOCC_00118	gene	468				
LCEDHOCC_00118	CDS	468				hypothetical protein
LCEDHOCC_00119	gene	192	rpmC			
LCEDHOCC_00119	CDS	192	rpmC		COG0255	50S ribosomal protein L29
LCEDHOCC_00120	gene	264	rpsQ			
LCEDHOCC_00120	CDS	264	rpsQ		COG0186	30S ribosomal protein S17
LCEDHOCC_00121	gene	369	rplN			
LCEDHOCC_00121	CDS	369	rplN		COG0093	50S ribosomal protein L14
LCEDHOCC_00122	gene	324	rplX			
LCEDHOCC_00122	CDS	324	rplX		COG0198	50S ribosomal protein L24
LCEDHOCC_00123	gene	540	rplE			
LCEDHOCC_00123	CDS	540	rplE		COG0094	50S ribosomal protein L5
LCEDHOCC_00124	gene	306	rpsN			
LCEDHOCC_00124	CDS	306	rpsN		COG0199	30S ribosomal protein S14
LCEDHOCC_00125	gene	393	rpsH			
LCEDHOCC_00125	CDS	393	rpsH		COG0096	30S ribosomal protein S8
LCEDHOCC_00126	gene	534	rplF			
LCEDHOCC_00126	CDS	534	rplF		COG0097	50S ribosomal protein L6
LCEDHOCC_00127	gene	354				
LCEDHOCC_00127	CDS	354				hypothetical protein
LCEDHOCC_00128	gene	519	rpsE			
LCEDHOCC_00128	CDS	519	rpsE		COG0098	30S ribosomal protein S5
LCEDHOCC_00129	gene	186	rpmD			
LCEDHOCC_00129	CDS	186	rpmD		COG1841	50S ribosomal protein L30
LCEDHOCC_00130	gene	168				
LCEDHOCC_00130	CDS	168				hypothetical protein
LCEDHOCC_00131	gene	1311	secY			
LCEDHOCC_00131	CDS	1311	secY		COG0201	Protein translocase subunit SecY
LCEDHOCC_00132	gene	1563	speA			
LCEDHOCC_00132	CDS	1563	speA	4.1.1.19	COG1166	Biosynthetic arginine decarboxylase
LCEDHOCC_00133	gene	924	speB			
LCEDHOCC_00133	CDS	924	speB	3.5.3.11	COG0010	Agmatinase
LCEDHOCC_00134	gene	1467	yflS			
LCEDHOCC_00134	CDS	1467	yflS		COG0471	Putative malate transporter YflS
LCEDHOCC_00135	gene	1035				
LCEDHOCC_00135	CDS	1035				hypothetical protein
LCEDHOCC_00136	gene	1143	bioF			
LCEDHOCC_00136	CDS	1143	bioF	2.3.1.47	COG0156	8-amino-7-oxononanoate synthase 2
LCEDHOCC_00137	gene	648				
LCEDHOCC_00137	CDS	648			COG2830	putative protein
LCEDHOCC_00138	gene	783	tam			
LCEDHOCC_00138	CDS	783	tam	2.1.1.144		Trans-aconitate 2-methyltransferase
LCEDHOCC_00139	gene	1437				
LCEDHOCC_00139	CDS	1437				hypothetical protein
LCEDHOCC_00140	gene	1098				
LCEDHOCC_00140	CDS	1098				hypothetical protein
LCEDHOCC_00141	gene	444				
LCEDHOCC_00141	CDS	444				hypothetical protein
LCEDHOCC_00142	gene	516				
LCEDHOCC_00142	CDS	516				hypothetical protein
LCEDHOCC_00143	gene	2637	leuS			
LCEDHOCC_00143	CDS	2637	leuS	6.1.1.4	COG0495	Leucine--tRNA ligase
LCEDHOCC_00144	gene	792	dpnC			
LCEDHOCC_00144	CDS	792	dpnC	3.1.21.4		Type-2 restriction enzyme DpnI
LCEDHOCC_00145	gene	132				
LCEDHOCC_00145	CDS	132				hypothetical protein
LCEDHOCC_00146	gene	726	bepA			
LCEDHOCC_00146	CDS	726	bepA	3.4.-.-		Beta-barrel assembly-enhancing protease
LCEDHOCC_00147	gene	312				
LCEDHOCC_00147	CDS	312				hypothetical protein
LCEDHOCC_00148	gene	369				
LCEDHOCC_00148	CDS	369				hypothetical protein
LCEDHOCC_00149	gene	86				
LCEDHOCC_00149	tRNA	86				tRNA-Leu(gag)
LCEDHOCC_00150	gene	351	secG			
LCEDHOCC_00150	CDS	351	secG		COG1314	Protein-export membrane protein SecG
LCEDHOCC_00151	gene	774	tpiA			
LCEDHOCC_00151	CDS	774	tpiA	5.3.1.1	COG0149	Triosephosphate isomerase
LCEDHOCC_00152	gene	504	msrC			
LCEDHOCC_00152	CDS	504	msrC	1.8.4.14	COG1956	Free methionine-R-sulfoxide reductase
LCEDHOCC_00153	gene	657	pcm			
LCEDHOCC_00153	CDS	657	pcm	2.1.1.77	COG2518	Protein-L-isoaspartate O-methyltransferase
LCEDHOCC_00154	gene	771	xthA			
LCEDHOCC_00154	CDS	771	xthA	3.1.11.2	COG0708	Exodeoxyribonuclease III
LCEDHOCC_00155	gene	288				
LCEDHOCC_00155	CDS	288				hypothetical protein
LCEDHOCC_00156	gene	882	nadC			
LCEDHOCC_00156	CDS	882	nadC	2.4.2.19	COG0157	putative nicotinate-nucleotide pyrophosphorylase [carboxylating]
LCEDHOCC_00157	gene	939				
LCEDHOCC_00157	CDS	939				hypothetical protein
LCEDHOCC_00158	gene	1113	nadA			
LCEDHOCC_00158	CDS	1113	nadA	2.5.1.72	COG0379	Quinolinate synthase A
LCEDHOCC_00159	gene	1509	nadB			
LCEDHOCC_00159	CDS	1509	nadB	1.4.3.16	COG0029	L-aspartate oxidase
LCEDHOCC_00160	gene	666	pgmB			
LCEDHOCC_00160	CDS	666	pgmB	5.4.2.6	COG0637	Beta-phosphoglucomutase
LCEDHOCC_00161	gene	2259	malP			
LCEDHOCC_00161	CDS	2259	malP	2.4.1.8		Maltose phosphorylase
LCEDHOCC_00162	gene	519				
LCEDHOCC_00162	CDS	519				hypothetical protein
LCEDHOCC_00163	gene	228				
LCEDHOCC_00163	CDS	228				hypothetical protein
LCEDHOCC_00164	gene	168				
LCEDHOCC_00164	CDS	168				hypothetical protein
LCEDHOCC_00165	gene	174				
LCEDHOCC_00165	CDS	174				hypothetical protein
LCEDHOCC_00166	gene	267				
LCEDHOCC_00166	CDS	267				hypothetical protein
LCEDHOCC_00167	gene	915				
LCEDHOCC_00167	CDS	915				hypothetical protein
LCEDHOCC_00168	gene	1989				
LCEDHOCC_00168	CDS	1989				hypothetical protein
LCEDHOCC_00169	gene	363				
LCEDHOCC_00169	CDS	363				hypothetical protein
LCEDHOCC_00170	gene	441				
LCEDHOCC_00170	CDS	441				hypothetical protein
LCEDHOCC_00171	gene	552	bacA_1			
LCEDHOCC_00171	CDS	552	bacA_1		COG4178	Vitamin B12 transport ATP-binding protein BacA
LCEDHOCC_00172	gene	669	hda			
LCEDHOCC_00172	CDS	669	hda		COG0593	DnaA regulatory inactivator Hda
LCEDHOCC_00173	gene	669				
LCEDHOCC_00173	CDS	669		3.1.3.-	COG0560	putative phosphatase
LCEDHOCC_00174	gene	444				
LCEDHOCC_00174	CDS	444				hypothetical protein
LCEDHOCC_00175	gene	567	mntP			
LCEDHOCC_00175	CDS	567	mntP		COG1971	putative manganese efflux pump MntP
LCEDHOCC_00176	gene	2037	prlC			
LCEDHOCC_00176	CDS	2037	prlC	3.4.24.70	COG0339	Oligopeptidase A
LCEDHOCC_00177	gene	873				
LCEDHOCC_00177	CDS	873				hypothetical protein
LCEDHOCC_00178	gene	2391	gyrB			
LCEDHOCC_00178	CDS	2391	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
LCEDHOCC_00179	gene	1455	sdaB			
LCEDHOCC_00179	CDS	1455	sdaB	4.3.1.17	COG1760	L-serine dehydratase 2
LCEDHOCC_00180	gene	1068	metZ			
LCEDHOCC_00180	CDS	1068	metZ	2.5.1.-	COG0626	O-succinylhomoserine sulfhydrylase
LCEDHOCC_00181	gene	207				
LCEDHOCC_00181	CDS	207				hypothetical protein
LCEDHOCC_00182	gene	753	rsmJ			
LCEDHOCC_00182	CDS	753	rsmJ	2.1.1.242		Ribosomal RNA small subunit methyltransferase J
LCEDHOCC_00183	gene	468	rssB			
LCEDHOCC_00183	CDS	468	rssB			Regulator of RpoS
LCEDHOCC_00184	gene	1518	sasA			
LCEDHOCC_00184	CDS	1518	sasA	2.7.-.-		Adaptive-response sensory-kinase SasA
LCEDHOCC_00185	gene	2298	parC			
LCEDHOCC_00185	CDS	2298	parC	5.6.2.2	COG0188	DNA topoisomerase 4 subunit A
LCEDHOCC_00186	gene	684	gpmA			
LCEDHOCC_00186	CDS	684	gpmA	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
LCEDHOCC_00187	gene	393				
LCEDHOCC_00187	CDS	393				hypothetical protein
LCEDHOCC_00188	gene	561				
LCEDHOCC_00188	CDS	561				hypothetical protein
LCEDHOCC_00189	gene	840	htpX			
LCEDHOCC_00189	CDS	840	htpX	3.4.24.-	COG0501	Protease HtpX
LCEDHOCC_00190	gene	648	adk			
LCEDHOCC_00190	CDS	648	adk	2.7.4.3	COG0563	Adenylate kinase
LCEDHOCC_00191	gene	741	pyrF			
LCEDHOCC_00191	CDS	741	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
LCEDHOCC_00192	gene	972	rfaE			
LCEDHOCC_00192	CDS	972	rfaE	2.7.1.167	COG2870	D-beta-D-heptose 7-phosphate kinase
LCEDHOCC_00193	gene	1221	hpaIIM			
LCEDHOCC_00193	CDS	1221	hpaIIM	2.1.1.37		Modification methylase HpaII
LCEDHOCC_00194	gene	1119				
LCEDHOCC_00194	CDS	1119				hypothetical protein
LCEDHOCC_00195	gene	1005	hldD			
LCEDHOCC_00195	CDS	1005	hldD	5.1.3.20		ADP-L-glycero-D-manno-heptose-6-epimerase
LCEDHOCC_00196	gene	198	sotB			
LCEDHOCC_00196	CDS	198	sotB			sugar efflux transporter
LCEDHOCC_00197	gene	1437				
LCEDHOCC_00197	CDS	1437				hypothetical protein
LCEDHOCC_00198	gene	984				
LCEDHOCC_00198	CDS	984				hypothetical protein
LCEDHOCC_00199	gene	1191				
LCEDHOCC_00199	CDS	1191				hypothetical protein
LCEDHOCC_00200	gene	1554	lcfB			
LCEDHOCC_00200	CDS	1554	lcfB	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
LCEDHOCC_00201	gene	2028	betS			
LCEDHOCC_00201	CDS	2028	betS			Glycine betaine/proline betaine transporter BetS
LCEDHOCC_00202	gene	1263				
LCEDHOCC_00202	CDS	1263				hypothetical protein
LCEDHOCC_00203	gene	1359	murF			
LCEDHOCC_00203	CDS	1359	murF	6.3.2.10	COG0770	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
LCEDHOCC_00204	gene	177				
LCEDHOCC_00204	CDS	177				hypothetical protein
LCEDHOCC_00205	gene	1083	mraY			
LCEDHOCC_00205	CDS	1083	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
LCEDHOCC_00206	gene	273				
LCEDHOCC_00206	CDS	273				hypothetical protein
LCEDHOCC_00207	gene	1338	murD			
LCEDHOCC_00207	CDS	1338	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
LCEDHOCC_00208	gene	1326	ftsW			
LCEDHOCC_00208	CDS	1326	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
LCEDHOCC_00209	gene	1068	murG			
LCEDHOCC_00209	CDS	1068	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
LCEDHOCC_00210	gene	957				
LCEDHOCC_00210	CDS	957				IS110 family transposase ISNgo3
LCEDHOCC_00211	gene	1188				
LCEDHOCC_00211	CDS	1188				hypothetical protein
LCEDHOCC_00212	gene	285				
LCEDHOCC_00212	CDS	285				hypothetical protein
LCEDHOCC_00213	gene	1314				
LCEDHOCC_00213	CDS	1314				hypothetical protein
LCEDHOCC_00214	gene	303				
LCEDHOCC_00214	CDS	303				hypothetical protein
LCEDHOCC_00215	gene	231				
LCEDHOCC_00215	CDS	231				hypothetical protein
LCEDHOCC_00216	gene	201				
LCEDHOCC_00216	CDS	201				hypothetical protein
LCEDHOCC_00217	gene	312				
LCEDHOCC_00217	CDS	312				hypothetical protein
LCEDHOCC_00218	gene	1215				
LCEDHOCC_00218	CDS	1215				hypothetical protein
LCEDHOCC_00219	gene	2016				
LCEDHOCC_00219	CDS	2016				hypothetical protein
LCEDHOCC_00220	gene	1311	argA			
LCEDHOCC_00220	CDS	1311	argA	2.3.1.1	COG0548	Amino-acid acetyltransferase
LCEDHOCC_00221	gene	435				
LCEDHOCC_00221	CDS	435				hypothetical protein
LCEDHOCC_00222	gene	642	pyrE_1			
LCEDHOCC_00222	CDS	642	pyrE_1	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
LCEDHOCC_00223	gene	732				
LCEDHOCC_00223	CDS	732				hypothetical protein
LCEDHOCC_00224	gene	441	rimI_1			
LCEDHOCC_00224	CDS	441	rimI_1	2.3.1.266	COG0456	[Ribosomal protein S18]-alanine N-acetyltransferase
LCEDHOCC_00225	gene	678	tsaB_1			
LCEDHOCC_00225	CDS	678	tsaB_1		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
LCEDHOCC_00226	gene	831				
LCEDHOCC_00226	CDS	831				hypothetical protein
LCEDHOCC_00227	gene	798	fda			
LCEDHOCC_00227	CDS	798	fda	4.1.2.13	COG0191	Fructose-bisphosphate aldolase
LCEDHOCC_00228	gene	1065				
LCEDHOCC_00228	CDS	1065				hypothetical protein
LCEDHOCC_00229	gene	213				
LCEDHOCC_00229	CDS	213				hypothetical protein
